Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155,8
0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,9
0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,9
0.36,0.27,0.09,0.2225,0.083,0.053,0.075,6
0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,11
0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8
0.425,0.315,0.1,0.377,0.1645,0.072,0.105,6
0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9
0.42,0.31,0.1,0.2865,0.115,0.0735,0.085,8
0.455,0.345,0.105,0.4005,0.164,0.0755,0.126,8
0.605,0.475,0.175,1.201,0.5395,0.275,0.309,10
0.62,0.47,0.15,1.309,0.587,0.4405,0.325,9
0.625,0.47,0.175,1.179,0.605,0.258,0.271,9
0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8
0.375,0.275,0.095,0.2295,0.095,0.0545,0.066,7
0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,6
0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185,5
0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705,11
0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11
0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9
0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,10
0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855,11
0.745,0.575,0.2,1.884,0.954,0.336,0.495,12
0.555,0.405,0.19,1.406,0.6115,0.342,0.389,10
0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274,10
0.375,0.285,0.08,0.226,0.0975,0.04,0.0725,7
0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9
0.725,0.53,0.19,1.7315,0.83,0.398,0.405,11
0.395,0.29,0.095,0.3,0.158,0.068,0.078,7
0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,8
0.51,0.385,0.135,0.632,0.282,0.145,0.17,8
0.59,0.44,0.15,0.8725,0.387,0.215,0.245,8
0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9
0.38,0.29,0.085,0.2285,0.088,0.0465,0.075,7
0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9
0.275,0.205,0.065,0.101,0.041,0.021,0.034,5
0.69,0.55,0.195,1.777,0.769,0.38,0.4305,11
0.695,0.54,0.195,1.691,0.768,0.363,0.4755,11
0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,10
0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7
0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8
0.45,0.355,0.115,0.478,0.18,0.1185,0.155,10
0.545,0.415,0.2,1.358,0.567,0.318,0.403,10
0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9
0.645,0.49,0.16,1.1665,0.4935,0.3155,0.299,9
0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5
0.605,0.455,0.16,1.1215,0.533,0.273,0.271,10
0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8
0.555,0.46,0.16,0.86,0.3345,0.1935,0.275,10
0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,10
0.555,0.455,0.135,0.837,0.382,0.171,0.235,9
0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,8
0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9
0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,8
0.64,0.5,0.165,1.1635,0.554,0.239,0.32,11
0.645,0.48,0.15,1.192,0.6055,0.2595,0.285,9
0.575,0.42,0.135,0.857,0.461,0.147,0.2125,10
0.695,0.55,0.195,1.6645,0.727,0.36,0.445,11
0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8
0.61,0.45,0.15,0.871,0.407,0.1835,0.25,10
0.5,0.38,0.155,0.655,0.2405,0.143,0.205,17
0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7
0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
0.525,0.39,0.105,0.567,0.2875,0.1075,0.16,8
0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6
0.515,0.4,0.115,0.578,0.191,0.1445,0.17,9
0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,7
