Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
0.44875,0.33375,0.10125,0.378625,0.17975,0.086875,0.096,7
0.463888889,0.361666667,0.108333333,0.5055,0.231055556,0.124611111,0.134666667,6
0.4775,0.375833333,0.146666667,0.488833333,0.185416667,0.090666667,0.211583333,9
0.552142857,0.438571429,0.147142857,0.968,0.526642857,0.179214286,0.2205,9
0.46625,0.36,0.12375,0.542625,0.211125,0.13025,0.18875,14
0.535,0.414333333,0.136666667,0.7164,0.313933333,0.168333333,0.2003,10
0.65625,0.51875,0.164583333,1.298541667,0.537833333,0.290416667,0.403041667,11
0.6,0.477777778,0.168333333,1.056222222,0.420666667,0.202111111,0.354666667,14
0.555,0.42,0.11,0.931,0.4445,0.171,0.225,8
0.692857143,0.544285714,0.174285714,1.608642857,0.867857143,0.331285714,0.400857143,11
0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5
0.614375,0.4925,0.16625,1.1048125,0.459375,0.222375,0.34225,10
0.465,0.350714286,0.109285714,0.423214286,0.188142857,0.102,0.116857143,6
0.455,0.346,0.122,0.4421,0.1783,0.1162,0.1174,11
0.333,0.245,0.079,0.1906,0.0939,0.0349,0.045,7
0.668333333,0.535,0.185,1.627,0.767666667,0.398,0.399833333,11
0.5,0.3725,0.1325,0.59425,0.30175,0.10625,0.155,9
0.60375,0.475,0.166875,1.046875,0.452375,0.2344375,0.314625,10
0.63,0.495,0.2,1.4255,0.659,0.336,0.38,11
0.3575,0.27,0.08625,0.20225,0.074125,0.050125,0.067875,8
0.605,0.468636364,0.165,1.064272727,0.402772727,0.241818182,0.335909091,13
0.3215,0.2455,0.073,0.15655,0.0655,0.03435,0.04835,13
0.5,0.380714286,0.147142857,0.656,0.241642857,0.150285714,0.210928571,17
0.475,0.373333333,0.125,0.584333333,0.254333333,0.093666667,0.178833333,8
0.576428571,0.448571429,0.157857143,1.001571429,0.488071429,0.200928571,0.268928571,9
0.5675,0.458333333,0.144166667,0.961416667,0.428833333,0.254916667,0.25275,9
0.308333333,0.195,0.088333333,0.190666667,0.087,0.041,0.0545,5
0.644,0.509,0.151,1.2385,0.5501,0.287,0.3301,10
0.4075,0.322,0.113,0.35125,0.14585,0.07405,0.12075,9
0.49625,0.4,0.13875,0.666375,0.257875,0.129125,0.23625,12
0.65,0.5275,0.195,1.54025,0.581,0.269,0.5325,17
0.371875,0.279375,0.084375,0.2166875,0.0888125,0.0591875,0.069,7
