MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP
134.7142857,1396,11782.85714,13,3.857142857,13.57142857,72
900,1000,4000,6,1,2,18
333.125,942,3687.5,1.25,2.375,16.25,22
406,224,571.2,2.8,2.4,8,6
700,384,8000,0,1,1,24
50,2000,16000,17.71428571,3.285714286,10.14285714,80
722.1428571,805.4285714,2088.571429,18.71428571,2.285714286,4.142857143,20
38,4000,16000,128,16,32,212
38,8000,24000,160,4,8,140
244.5,2300,4100,17.6,2.8,14.2,40
235,512,3916.666667,0.666666667,2.666666667,25.66666667,50
209.75,820,5250,2,2.5,12.75,28
170,756,16000,8,2.5,17.5,35
160,1000,4000,8,1,14,38
129.8,2030,7820,31.3,1.9,19.3,70
133,4000,8000,16,8.5,18.25,34
261,628,6100,0,2.333333333,16.66666667,33
58,5000,16000,54.125,4.625,10.75,93
226.6666667,260,3666.666667,1.333333333,1,3,12
50,2000,8000,8,2,6,45
99.33333333,1000,8000,18.66666667,2,6.666666667,26
180,262,4000,0,1,3,12
39,5000,16000,2.25,5.25,12,132
56,4000,12000,0,1,8,42
172.5,384,2000,4,2,7.5,11
1200,884,1000,0,0.5,1,12
333.3333333,512,8000,14.66666667,0.666666667,4.333333333,40
67.66666667,2000,8000,8,3.333333333,13.33333333,105
54.81818182,5818.181818,32000,53.09090909,10.90909091,35.27272727,277
28.66666667,6666.666667,16000,32,7.333333333,14.66666667,132
66.5,1000,4000,8,1.5,4.5,17
23,16000,32000,64,16,32,465
800,256,8000,0,1,4,20
26.5,16000,64000,104,18,112,636
50.2,5296,22788,37.6,10.4,20.8,214
59,4000,12000,32,6,12,113
30,16000,32000,128,14,26,465
154.25,1000,8000,6.25,1.5,9,60
115,2000,16000,57.6,1.8,19.2,144
