REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN,CLASS
36,243,9,0.11111111,0,1.888889,1.8518513,2,0.7111104,13.333333,9.888889,12.111111,18,-10.333333,-3.6666667,14,18,0.4522286,2.3683105,5
60,102.5,9,0,0,0.69444451,0.542592495,0.97222215,0.76481507,2.5185184,0.388888905,6,1.16666665,-6.38888875,10.444444,-4.0555557,6,0.943694875,-2.22359265,2
1,81,9,0,0,12.166667,267.45554,9.222222,205.36296,21.333334,14,30.555555,19.444445,-22,27.666666,-5.6666665,30.555555,0.5952822,-2.438409,2
62.5,212,9,0,0,1.97222225,3.3203708,1.30555542,1.498148,7.2222221,5.55555565,5.11111115,11,-5,-6.33333325,11.333333,11,0.568175535,2.01478725,5
152,18,9,0,0,0.7777774,0.4554219,0.55555725,0.2721644,112.111115,97.22222,130.44444,108.666664,-44.666668,55,-10.333333,130.44444,0.2546684,-2.45498,1
23,55,9,0,0,2.2222216,3.6740727,1.7777773,0.7851852,23.444445,21.666666,31.11111,17.555555,-5.3333335,23,-17.666666,31.11111,0.43507022,-1.7711632,0
70,46,9,0,0,0.66666665,0.5852167,0.75,0.75647305,111.1666675,98.61111,129.111115,105.7777745,-37.6666665,53.833335,-16.1666675,129.111115,0.236215325,-2.3321886,1
121,60,9,0,0,2.277778,2.329629,2.888889,2.8740742,26.74074,24.666666,35.22222,20.333334,-6.2222223,25.444445,-19.222221,35.22222,0.4223002,-1.776113,0
142,124.3333333,9,0,0,0.722222157,0.277777817,1.388888883,1.645679025,4.1604938,3.074074173,7.074074067,2.3333333,-3.259259233,8.7407406,-5.4814815,7.185185067,0.796818713,-1.8421443,2
133,38.5,9,0,0,1.16666665,1.29572345,1.444444635,1.18148588,56.277777,51.166665,67.333335,50.333332,-15.3333335,33.166665,-17.833333,67.333335,0.25418398,-2.04416345,3
100.5,224.25,9,0.027777778,0,1.777777735,1.848247875,2.166666575,1.67112276,15.35185175,11.638889,13.66666725,20.7499995,-11.138889,-5.055555675,16.19444475,20.7499995,0.441617525,2.3340273,5
243,94,9,0,0,0.6666666,0.31111112,0.22222221,0.029629631,1.1851852,0.22222222,3.2222223,0.11111111,-2.8888888,6.111111,-3.2222223,3.2222223,0.9777778,-2.0712416,4
