fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.733333333,0.563333333,0.216666667,2.6,0.089,16.33333333,36.66666667,0.996066667,3.306666667,0.54,10.8,6
8.8,0.634285714,0.225714286,2.242857143,0.084,6.428571429,30.57142857,0.997342857,3.192857143,0.551428571,9.728571429,6
7.9,0.33,0.39,2.75,0.072,14.5,36.5,0.99547,3.38,0.71,12.7,6
6.833333333,0.58,0.043333333,5.266666667,0.068666667,10.66666667,18.66666667,0.995973333,3.41,0.61,11.26666667,7
6.82,0.699,0.19,1.8,0.0644,16,60.2,0.995384,3.406,0.556,10.26,5
8.6,0.4825,0.2875,7.075,0.082,10,48.25,0.99922,3.3175,0.7275,10.125,7
11.4,0.346,0.52,2.72,0.0934,6.2,20.8,0.999,3.218,0.75,10.62,6
6.825,0.56,0.1275,1.875,0.074,10,23.25,0.99573,3.4175,0.6225,10.275,5
8.3,0.335,0.44,1.6,0.0605,6,12,0.995735,3.435,0.62,10.7,5
9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6
7.9,0.55,0.304,2.82,0.0898,33.2,86.2,0.996984,3.28,0.554,9.62,5
8.066666667,0.495555556,0.305555556,2.811111111,0.085666667,22.22222222,142.8888889,0.996312222,3.153333333,0.87,10.02222222,5
7.18,0.584,0.154,2.26,0.0784,12.4,27.6,0.997308,3.506,0.696,9.8,6
8,0.485,0.2,2.05,0.0685,11.5,24.5,0.99734,3.35,0.665,9.15,6
6.514285714,0.531428571,0.121428571,1.8,0.071857143,15.28571429,47.71428571,0.994867143,3.498571429,0.624285714,10.71428571,5
12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,6
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6
7.62,0.436,0.266,2.08,0.074,28.6,62,0.99608,3.35,0.58,10,6
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8
6.858333333,0.556666667,0.114166667,2.225,0.072916667,17.91666667,88.83333333,0.9956975,3.465833333,0.6225,10.67222222,5
10.95,0.525,0.38,2.9,0.0925,29,54,0.99995,3.25,0.775,10.45,5
7.966666667,0.643333333,0.252222222,2.322222222,0.124777778,12,65.66666667,0.997206667,3.28,0.631111111,9.422222222,5
11.325,0.4425,0.51,2.475,0.09,16.75,35.25,0.999425,3.175,0.745,10.375,6
8.92,0.406,0.318,2.12,0.0756,12.4,18.8,0.99576,3.21,0.64,10.86,7
8.3,0.549166667,0.248333333,2.316666667,0.089833333,24.25,89.5,0.997580833,3.320833333,0.594166667,9.591666667,5
7.133333333,0.573333333,0.126666667,1.7,0.076666667,12,38.66666667,0.996666667,3.42,0.6,9.6,5
7.45,0.5225,0.19,2.016666667,0.072333333,28.33333333,55,0.996438333,3.341666667,0.618333333,10.23333333,6
8.4,0.466666667,0.373333333,1.966666667,0.193,17,45.33333333,0.996956667,3.193333333,0.833333333,9.266666667,5
4.95,0.54,0.105,1.95,0.056,18,106,0.99295,3.695,0.61,12.55,6
6.45,0.44,0.265,2.05,0.057,24,33,0.99443,3.415,0.7,11.45,5
8.75,0.43875,0.325,4.4125,0.0895,4,11.75,0.996075,3.2925,0.635,12.375,7
7.066666667,0.43,0.16,2.766666667,0.064666667,27,47.33333333,0.996096667,3.306666667,0.593333333,9.633333333,4
6.15,0.575,0.24,2.25,0.0615,14,49.5,0.994205,3.495,0.635,12.65,5
7.2,0.63,0.075,1.8,0.088,8,23.5,0.99695,3.39,0.555,9.3,5
8.966666667,0.523333333,0.293333333,1.966666667,0.063,13.33333333,27.66666667,0.995406667,3.19,0.67,10.83333333,5
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
9.75,0.4425,0.365,2.2,0.08,4.25,27.25,0.998975,3.195,0.655,9.875,5
9.45,0.3625,0.46,1.9,0.078,14,22,0.99658,3.245,0.56,11.1,6
8.025,0.535625,0.26625,2.0125,0.07675,8.75,29,0.9971775,3.34125,0.7375,9.875,5
11.06666667,0.52,0.356666667,1.8,0.082,9.666666667,23.33333333,0.997993333,3.026666667,0.686666667,9.466666667,5
