fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.383333333,0.258333333,0.286666667,1.308333333,0.039333333,15.5,73.33333333,0.991355,3.306666667,0.455,11.17222222,5
6.875,0.27,0.3,6.05,0.03775,30.25,139.5,0.9929075,3.1275,0.345,11.025,5
7.5,0.23,0.33,6,0.0395,33,160.5,0.99395,3.095,0.545,11.1,4
6.588888889,0.277777778,0.368888889,1.5,0.050333333,25.44444444,184,0.992315556,3.29,0.478888889,10.75555556,5
6.65,0.32,0.325,7.2,0.051,44.75,233,0.99635,3.42,0.63,10.1,6
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
6.275,0.1975,0.335,1.1,0.0345,43.25,126,0.990705,3.2,0.49,11.275,7
7.3875,0.23,0.31,13.55,0.05525,48.0625,228.25,0.99863125,3.12375,0.49625,9.275,7
7.44,0.236,0.36,1.98,0.043,29,114.8,0.99286,3.116,0.538,10.68,7
6.5,0.296666667,0.44,1.333333333,0.043666667,13,168.6666667,0.992376667,3.19,0.736666667,10.36666667,6
5.75,0.255,0.295,1.4,0.034,24.5,92.5,0.98928,3.29,0.45,12.4,7
6.46,0.272,0.466,8.5,0.0412,57.8,231,0.99571,3.084,0.5,9.3,5
6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5
7.7,0.22,0.395,8.975,0.04775,36.75,222.25,0.995975,3.2025,0.5125,10.3,6
6.5,0.34,0.29,15.15,0.0505,50,197,0.99795,3.21,0.475,9.4,5
7.3,0.295,0.315,6.45,0.038,47,138.5,0.992055,3.185,0.475,12.5,6
7.48,0.184,0.322,2.26,0.0492,11.2,144,0.99344,3.194,0.508,10.3,7
6.67,0.301,0.382,14.875,0.0453,28.1,162.3,0.99808,3.179,0.477,9.25,6
6.214285714,0.255714286,0.28,2.542857143,0.053,32.42857143,77.57142857,0.990722857,3.225714286,0.56,11.60952381,6
6.55,0.19,0.32,1.45,0.04,24,96,0.99285,3.43,0.455,10.55,6
8.433333333,0.25,0.39,1.2,0.036666667,13.33333333,54.66666667,0.991833333,2.946666667,0.49,10.86666667,4
7.45,0.31,0.465,12.95,0.0675,57.5,181.5,0.99868,3.1,0.63,9.05,7
6.7,0.2725,0.2775,18.45,0.06075,32,172.75,0.99847,3.16,0.4725,10,6
6.366666667,0.25,0.236666667,5.133333333,0.039,18.33333333,97.33333333,0.99247,3.236666667,0.613333333,11.2,5
6.675,0.2,0.2825,1.95,0.038,25,119.25,0.9932,3.42,0.6325,10.5,6
6.4,0.333,0.303,2.95,0.0386,13.9,72.6,0.990061,3.144,0.537,12.38,7
7.45,0.36,0.615,11.3,0.041,68,188.5,0.99777,3.04,0.515,8.95,4
7.46,0.186,0.328,1.94,0.0406,34.4,84.6,0.99166,3.146,0.458,10.85,6
5.925,0.21125,0.3875,1.4,0.0525,34.5,91.75,0.9911,3.4575,0.44,11.7,6
7.74,0.32,0.456,6.19,0.035,6.6,111.2,0.992832,2.958,0.458,11.12,6
8.366666667,0.218333333,0.365,1.35,0.03,31,93,0.991416667,3.028333333,0.486666667,11.31666667,7
7,0.125,0.35,13.07,0.0456,35.2,106,0.996566,3.178,0.49,10.1,6
6.525,0.3125,0.315,1.675,0.03575,29.75,113.75,0.9886925,3.12,0.445,13.35,6
6.55,0.18,0.3175,1.725,0.034,37.5,94,0.9905175,3.1325,0.595,11.675,6
6.35,0.255,0.285,1.2,0.038,32,91,0.99098,3.18,0.495,10.95,6
6.766666667,0.313333333,0.343333333,2.233333333,0.045666667,67,162,0.991906667,3.14,0.56,10.86666667,6
6.45,0.49,0.14,1.8,0.046,25,133,0.991655,3.255,0.49,11.1,7
7.3,0.235,0.305,13.85,0.059,47.5,197.5,0.998275,3.005,0.475,8.95,6
5.7,0.343333333,0.223333333,3.766666667,0.037,17,116,0.99023,3.366666667,0.606666667,12.96666667,6
