Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8
0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,8
0.61,0.49,0.17,1.137,0.4605,0.2825,0.344,12
0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,8
0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10
0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11
0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,8
0.47,0.36,0.13,0.472,0.182,0.114,0.15,10
0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,10
0.71,0.56,0.175,1.724,0.566,0.4575,0.4625,13
0.55,0.435,0.16,0.906,0.342,0.219,0.295,13
0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7
0.75,0.555,0.215,2.201,1.0615,0.5235,0.5285,11
0.56,0.435,0.18,0.889,0.36,0.204,0.25,11
0.645,0.52,0.175,1.561,0.709,0.3555,0.4,8
0.42,0.31,0.1,0.2805,0.1125,0.0615,0.0925,8
0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8
0.65,0.525,0.165,1.238,0.647,0.2485,0.3005,9
0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,13
0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9
0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,9
0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,6
0.44,0.34,0.135,0.3975,0.1505,0.0945,0.135,8
0.6,0.47,0.15,0.922,0.363,0.194,0.305,10
0.255,0.19,0.06,0.086,0.04,0.0185,0.025,5
0.595,0.455,0.145,0.942,0.43,0.182,0.277,11
0.42,0.34,0.115,0.4215,0.175,0.093,0.135,8
0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7
0.61,0.46,0.145,1.1185,0.478,0.2945,0.2985,10
0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8
0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9
0.66,0.515,0.18,1.523,0.54,0.3365,0.555,16
0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7
0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10
0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,7
0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6
0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,8
0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,8
0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6
0.525,0.365,0.17,0.9605,0.438,0.2225,0.276,10
0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,9
0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,5
0.64,0.525,0.2,1.3765,0.44,0.3075,0.47,16
0.6,0.485,0.165,1.1405,0.587,0.2175,0.288,9
0.44,0.34,0.12,0.438,0.2115,0.083,0.12,9
0.63,0.475,0.155,1.0005,0.452,0.252,0.265,10
0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,9
0.535,0.405,0.175,1.2705,0.548,0.3265,0.337,13
0.59,0.46,0.145,0.9905,0.453,0.2205,0.275,8
0.45,0.36,0.11,0.447,0.203,0.082,0.13,12
0.5,0.38,0.135,0.5285,0.226,0.123,0.209,8
0.4,0.305,0.1,0.3415,0.176,0.0625,0.0865,7
0.52,0.41,0.14,0.6625,0.2775,0.1555,0.196,11
0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,15
0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395,14
0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,10
0.32,0.235,0.08,0.1485,0.064,0.031,0.045,6
0.32,0.25,0.08,0.1565,0.057,0.034,0.06,9
0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14
0.585,0.455,0.155,1.133,0.5515,0.223,0.305,12
0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,9
0.58,0.46,0.15,1.0165,0.491,0.221,0.265,9
0.55,0.425,0.155,0.8725,0.412,0.187,0.2425,10
0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11
0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13
0.2,0.15,0.04,0.046,0.021,0.007,0.0065,4
0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,10
0.455,0.35,0.13,0.4725,0.215,0.0745,0.15,9
0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
0.465,0.35,0.125,0.482,0.23,0.106,0.1095,6
0.64,0.485,0.15,1.098,0.5195,0.222,0.3175,10
0.59,0.455,0.16,1.09,0.5,0.2215,0.292,9
0.205,0.15,0.065,0.04,0.02,0.011,0.013,4
0.545,0.43,0.14,0.772,0.289,0.19,0.2615,8
0.18,0.135,0.08,0.033,0.0145,0.007,0.01,5
0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13
0.585,0.475,0.165,1.053,0.458,0.217,0.3,11
0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9
0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6
0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5
0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,11
0.6,0.46,0.155,0.6655,0.285,0.149,0.269,11
0.65,0.485,0.14,1.175,0.475,0.2435,0.215,8
0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,19
0.32,0.205,0.08,0.181,0.088,0.034,0.0495,5
0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,9
0.54,0.425,0.14,0.742,0.32,0.1395,0.25,9
0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12
0.555,0.42,0.11,0.931,0.4445,0.171,0.225,8
0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,11
0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,8
0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15
0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,10
0.565,0.435,0.145,0.8445,0.3975,0.158,0.255,9
0.625,0.495,0.155,1.177,0.5055,0.278,0.345,9
0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,11
0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12
0.55,0.42,0.115,0.668,0.2925,0.137,0.209,11
0.475,0.35,0.12,0.4905,0.2035,0.13,0.135,7
0.49,0.39,0.12,0.511,0.2205,0.103,0.1745,9
0.55,0.425,0.16,0.793,0.343,0.2035,0.215,9
0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6
0.7,0.525,0.19,1.6015,0.707,0.365,0.43,10
0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11
0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10
0.585,0.45,0.15,0.997,0.4055,0.283,0.251,11
0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,9
0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,10
0.685,0.51,0.165,1.545,0.686,0.3775,0.4055,10
0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,7
0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,18
0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12
0.46,0.355,0.11,0.436,0.1975,0.096,0.125,8
0.585,0.49,0.185,1.171,0.522,0.2535,0.335,10
0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14
0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
0.53,0.425,0.13,0.7585,0.325,0.197,0.205,8
0.445,0.33,0.1,0.437,0.163,0.0755,0.17,13
0.65,0.59,0.22,1.662,0.77,0.378,0.435,11
0.705,0.56,0.17,1.4575,0.607,0.318,0.44,11
0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,9
0.155,0.115,0.025,0.024,0.009,0.005,0.0075,5
0.575,0.47,0.165,0.853,0.292,0.179,0.35,16
0.37,0.27,0.095,0.232,0.1325,0.041,0.0615,6
0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,14
0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,4
0.425,0.35,0.105,0.393,0.13,0.063,0.165,9
0.525,0.41,0.135,0.7905,0.4065,0.198,0.177,8
0.65,0.52,0.195,1.6275,0.689,0.3905,0.432,11
0.575,0.47,0.15,0.9785,0.4505,0.196,0.276,9
0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,10
0.585,0.48,0.185,1.04,0.434,0.265,0.285,10
0.405,0.31,0.065,0.3205,0.1575,0.066,0.088,6
0.68,0.515,0.16,1.2345,0.618,0.2625,0.325,11
0.475,0.36,0.11,0.452,0.191,0.099,0.13,8
0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,10
0.54,0.475,0.155,0.928,0.394,0.194,0.26,11
