X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
7,4,90,41.5,682.6,8.7,11.3,60,5.4,0,0
4,4,85.4,25.4,349.7,2.6,4.6,21,8.5,0,17.85
4,6,93.5,149.3,728.6,8.1,28.3,26,3.1,0,64.1
8,6,91.6,248.4,753.8,6.3,20.4,56,2.2,0,0
8,6,84.9,32.8,664.2,3,19.1,32,4,0,5.44
6,5,63.5,70.8,665.3,0.8,17,72,6.7,0,0
4,4,87.6,52.2,103.8,5,11,46,5.8,0,0
6,5,53.4,71,233.8,0.4,10.6,90,2.7,0,0
6,5,91.9,111.7,770.3,6.5,21.1,35,2.7,0,5.65
5,4,90.1,39.7,86.6,6.2,13.2,40,5.4,0,0.95
4,4,83,23.3,85.3,2.3,16.7,20,3.1,0,0
6,5,87.2,15.1,36.9,7.1,10.2,45,5.8,0,3.18
4,4,92.1,99,745.3,9.6,20.8,35,4.9,0,13.06
3,6,90.9,126.5,686.5,7,15.6,66,3.1,0,0
4,5,92.9,137,706.4,9.2,22.1,34,1.8,0,14.57
8,3,93.7,80.9,685.2,17.9,23.2,26,4.9,0,23.41
8,6,91.1,103.2,638.8,5.8,23.4,22,2.7,0,0
3,4,94.9,130.3,587.1,14.1,23.4,40,5.8,0,1.29
6,4,94.8,227,706.7,12,23.3,34,3.1,0,28.74
7,4,88.2,55.2,732.3,11.6,15.2,64,3.1,0,0.52
7,4,92.1,99,745.3,9.6,18.7,50,2.2,0,5.97
4,4,92.6,115.4,777.1,8.8,19.7,41,1.8,0,1.58
6,5,90.9,126.5,686.5,7,21.3,42,2.2,0,0
6,5,84.1,4.6,46.7,2.2,5.3,68,1.8,0,0
8,6,90.4,89.5,290.8,6.4,15.4,45,2.2,0,0
4,4,90.6,43.7,686.9,6.7,18.4,25,3.1,0,24.23
2,4,91.6,108.4,764,6.2,20.4,41,1.8,0,1.47
1,5,93.4,145.4,721.4,8.1,29.6,27,2.7,0,1.46
4,5,91,276.3,825.1,7.1,13.8,77,7.6,0,0
6,3,92.4,105.8,758.1,9.9,24.8,28,1.8,0,14.29
5,4,92.8,119,783.5,7.5,21.6,28,6.3,0,4.41
5,4,94.3,85.1,692.3,15.9,20.1,47,4.9,0,1.46
6,4,91,129.5,692.6,7,18.3,40,2.7,0,0
7,4,90.1,82.9,735.7,6.2,15.4,57,4.5,0,37.71
2,2,92.1,152.6,658.2,14.3,23.7,24,3.1,0,0
3,4,91.8,78.5,724.3,9.2,18.9,35,2.7,0,0
2,4,93.6,235.1,723.1,10.1,20.9,66,4.9,0,15.34
6,4,75.1,4.4,16.2,1.9,5.1,77,5.4,0,2.14
9,4,84.4,73.4,671.9,3.2,24.3,36,3.1,0,105.66
4,5,92.5,121.1,674.4,8.6,17.7,25,3.1,0,154.88
3,4,91.4,142.4,601.4,10.6,19.8,39,5.4,0,0
7,5,91,129.5,692.6,7,20.7,37,2.2,0,17.2
3,5,93.5,139.4,594.2,20.3,17.6,52,5.8,0,0
8,5,89.7,90,704.4,4.8,17.8,67,2.2,0,2.01
2,2,94.6,212.1,680.9,9.5,27.9,27,2.2,0,0
4,6,84.7,26.7,352.6,4.1,2.2,59,4.9,0,9.27
4,5,85.9,19.5,57.3,2.8,12.7,52,6.3,0,0
6,3,93.4,145.4,721.4,8.1,30.2,24,2.7,0,0
4,5,92.4,96.2,739.4,8.6,18.6,24,5.8,0,0
2,2,92.4,117.9,668,12.2,23,37,4.5,0,0
4,4,94.8,108.3,647.1,17,16.6,54,5.4,0,0
2,5,93.7,231.1,715.1,8.4,23.6,53,4,0,6.43
2,5,93.7,121.7,350.2,18,22.7,40,9.4,0,3.19
7,5,92.5,88,698.6,7.1,22.8,40,4,0,0
5,6,94.3,85.1,692.3,15.9,25.9,24,4,0,0
3,5,88.1,25.7,67.6,3.8,14.9,38,2.7,0,0
6,5,95.2,131.7,578.8,10.4,27.4,22,4,0,0.9
7,4,94.3,96.3,200,56.1,21,44,4.5,0,0
2,5,90.8,84.7,376.6,5.6,23.8,51,1.8,0,0
4,4,93.7,102.2,550.3,14.6,22.1,54,7.6,0,0.79
2,5,90.1,82.9,735.7,6.2,18.3,45,2.2,0,4.88
1,2,93.5,149.3,728.6,8.1,25.3,36,3.6,0,0
3,4,91.5,145.4,608.2,10.7,10.3,74,2.2,0,0
3,4,91.8,175.1,700.7,13.8,26.8,38,6.3,0,0.76
7,5,92.5,88,698.6,7.1,17.8,51,7.2,0,0
2,2,90.2,99.6,631.2,6.3,20.8,33,2.7,0,0
3,4,90.1,51.2,424.1,6.2,24.6,43,1.8,0,1.43
7,5,91.7,48.5,696.1,11.1,16.1,44,4,0,49.37
3,4,86.9,6.6,18.7,3.2,8.8,35,3.1,0,1.1
4,4,94.3,167.6,684.4,13,21.8,53,3.1,0,6.54
2,2,94.8,108.3,647.1,17,24.6,22,4.5,0,8.71
4,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0,0
3,4,91.6,112.4,573,8.9,11.2,84,7.6,0,3.3
1,4,94.4,146,614.7,11.3,25.6,42,4,0,0
4,3,93.7,101.3,423.4,14.7,26.1,45,4,0,7.36
4,4,92.9,133.3,699.6,9.2,26.4,21,4.5,0,88.49
4,5,91.1,132.3,812.1,12.5,15.9,38,5.4,0,1.75
3,4,91.1,88.2,731.7,8.3,22.8,46,4,0,4.95
8,6,92.2,81.8,480.8,11.9,20.1,34,4.5,0,58.3
1,4,90.2,96.9,624.2,8.9,20.3,39,4.9,0,4.53
6,6,94.2,62.3,442.9,11,23,36,3.1,0,0
8,6,91.5,130.1,807.1,7.5,15.9,51,4.5,0,2.18
5,5,91.7,35.8,80.8,7.8,15.1,27,5.4,0,0
7,5,93.1,180.4,430.8,11,22.2,48,1.3,0,0
6,5,92.6,115.4,777.1,8.8,24.3,27,4.9,0,0
1,2,91,166.9,752.6,7.1,25.9,41,3.6,0,0
6,5,91.2,94.3,744.4,8.4,15.4,57,4.9,0,39.35
6,3,79.5,3,106.7,1.1,11.8,31,4.5,0,0
6,5,81.5,9.1,55.2,2.7,5.8,54,5.8,0,4.61
4,3,91.6,108.4,764,6.2,9.8,86,1.8,0,0
2,4,94.5,139.4,689.1,20,29.2,30,4.9,0,1.95
1,4,90.2,96.9,624.2,8.9,14.2,53,1.8,0,3.5
1,4,91.7,191.4,635.9,7.8,19.9,50,4,0,82.75
5,4,92.1,99,745.3,9.6,10.1,75,3.6,0,3.71
4,3,81.6,56.7,665.6,1.9,27.8,32,2.7,0,6.44
5,4,95.1,141.3,605.8,17.7,24.1,43,6.3,0,2
