fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6
7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,5
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,4
6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6
7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4
7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6
6.7,0.855,0.02,1.9,0.064,29,38,0.99472,3.3,0.56,10.75,6
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6
7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
6.8,0.68,0.21,2.1,0.07,9,23,0.99546,3.38,0.6,10.3,5
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5
9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,5
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5
9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,5
7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,6
8,1.18,0.21,1.9,0.083,14,41,0.99532,3.34,0.47,10.5,5
8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5
6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,6
7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,6
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5
7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,6
11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5
6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6
7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,5
9,0.6,0.29,2,0.069,32,73,0.99654,3.34,0.57,10,5
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,5
8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5
7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5
8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5
6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6
7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,5
12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6
6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6
8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5
6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6
8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5
6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,6
