fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,8
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6
6.3,0.19,0.21,1.8,0.049,35,163,0.9924,3.31,0.5,10.3,6
6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6
6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2,7
6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6
6.6,0.54,0.21,16.3,0.055,41,182,0.9986,3.35,0.54,10.4,6
7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,6
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7
6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7
6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,5
6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,5
7.7,0.18,0.53,1.2,0.041,42,167,0.9908,3.11,0.44,11.9,5
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
5.4,0.255,0.33,1.2,0.051,29,122,0.99048,3.37,0.66,11.3,6
6.6,0.15,0.34,1,0.037,45,79,0.98949,2.96,0.5,11.7,6
7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6
6.4,0.125,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12,7
7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6
6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,7
7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,6
7.6,0.29,0.58,17.5,0.041,51,225,0.9997,3.16,0.66,9.5,6
8.4,0.22,0.3,1.3,0.038,45,122,0.99178,3.13,0.54,10.8,7
6.8,0.21,0.74,1.2,0.047,25,111,0.9916,3.13,0.41,10.7,6
6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,6
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
8,0.37,0.31,4.7,0.038,3,127,0.99186,2.9,0.72,12.1,5
8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,6
8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4
6.3,0.25,0.44,1.7,0.024,36,116,0.98935,3.18,0.4,12.5,6
7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,7
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,6
6.2,0.38,0.42,2.5,0.038,34,117,0.99132,3.36,0.59,11.6,7
6.6,0.26,0.46,6.9,0.047,59,183,0.99594,3.2,0.45,9.3,5
8,0.24,0.3,17.45,0.056,43,184,0.9997,3.05,0.5,9.2,6
6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,6
6.6,0.23,0.29,14.45,0.057,29,144,0.99756,3.33,0.54,10.2,6
6.4,0.18,0.28,17.05,0.047,53,139,0.99724,3.25,0.35,10.5,6
5.9,0.17,0.28,0.7,0.027,5,28,0.98985,3.13,0.32,10.6,5
6.6,0.26,0.27,11.8,0.048,28,112,0.99606,2.87,0.49,9.7,6
7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,5
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5
3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,8
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12,7
6.6,0.545,0.04,2.5,0.031,48,111,0.9906,3.14,0.32,11.9,5
7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,6
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6
6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5
5.7,0.4,0.35,5.1,0.026,17,113,0.99052,3.18,0.67,12.4,6
5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11,5
6.4,0.26,0.3,2.2,0.025,33,134,0.992,3.21,0.47,10.6,6
7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6
6.9,0.4,0.22,5.95,0.081,76,303,0.99705,3.4,0.57,9.4,5
6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6
6.8,0.3,0.29,6.2,0.025,29,95,0.99071,3.03,0.32,12.9,7
6.4,0.17,0.27,1.5,0.037,20,98,0.9916,3.46,0.42,11,7
7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3
7.2,0.26,0.24,7,0.023,19,130,0.99176,3.14,0.49,12.8,7
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,5
6.9,0.21,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2,6
6.6,0.17,0.28,1.8,0.042,62,178,0.99204,3.15,0.42,10.2,5
6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5
7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,5
8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,6
7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7
7.1,0.25,0.31,2.3,0.05,32,156,0.9914,3.14,0.51,11.4,6
5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5,5
6.6,0.37,0.07,1.4,0.048,58,144,0.9922,3.17,0.38,10,5
6.8,0.15,0.33,4.7,0.059,31,118,0.9956,3.43,0.39,9,7
6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,6
6.6,0.26,0.38,6.5,0.17,68,201,0.9956,3.19,0.38,9.4,6
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6
6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,6
6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7
7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,4
8.2,0.15,0.48,2.7,0.052,24,190,0.995,3.5,0.45,10.9,7
5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9,8
6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,5
7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,5
6.5,0.33,0.32,1,0.041,39,120,0.99004,3.06,0.37,12.2,6
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5
6.9,0.18,0.33,1,0.054,24,164,0.9926,3.42,0.51,10.5,5
7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,6
5.7,0.2,0.24,13.8,0.047,44,112,0.99837,2.97,0.66,8.8,6
6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8
6.6,0.3,0.74,4.6,0.041,36,159,0.9946,3.21,0.45,9.9,5
7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6
6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,6
5.6,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5
8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5,5
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6
6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6
6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,7
8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5
7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,5
5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3,5
6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1,5
6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5
6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7
6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,6
6.8,0.31,0.25,10.5,0.043,30,165,0.9972,3.36,0.55,10.55,6
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5
6.4,0.32,0.31,1.9,0.037,34,126,0.99,3.06,0.45,11.8,6
6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,5
5.9,0.26,0.29,5.4,0.046,34,116,0.99224,3.24,0.41,11.4,6
8.6,0.18,0.4,1.1,0.04,20,107,0.9923,2.94,0.32,10.2,7
6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,6
7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,5
6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5
6.6,0.16,0.36,1.1,0.031,27,93,0.98884,3.23,0.34,13.2,8
6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6
6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7
6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11,7
6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
6.5,0.22,0.5,16.4,0.048,36,182,0.99904,3.02,0.49,8.8,6
6.6,0.23,0.24,3.9,0.045,36,138,0.9922,3.15,0.64,11.3,7
6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,4
6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
6.5,0.29,0.25,2.5,0.142,8,111,0.9927,3,0.44,9.9,4
7.7,0.18,0.3,1.2,0.046,49,199,0.99413,3.03,0.38,9.3,5
8.9,0.34,0.32,1.3,0.041,12,188,0.9953,3.17,0.49,9.5,5
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
6.4,0.3,0.27,4.4,0.055,17,135,0.9925,3.23,0.44,12.2,6
6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6
6.8,0.32,0.32,8.7,0.029,31,105,0.99146,3,0.34,12.3,7
6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
5,0.3,0.33,3.7,0.03,54,173,0.9887,3.36,0.3,13,7
7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7
5.7,0.18,0.26,2.2,0.023,21,95,0.9893,3.07,0.54,12.3,6
7.6,0.2,0.26,4.8,0.033,26,76,0.99076,2.98,0.49,12.3,7
7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7
6.8,0.32,0.43,1.6,0.05,4,65,0.99346,3.27,0.47,10.7,5
5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,5
6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.55,6
7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,6
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6
6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5
6.9,0.19,0.39,8,0.028,22,84,0.994,3.11,0.66,10.8,6
6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4
6.4,0.15,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3,6
7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2,4
6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,5
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9,5
7,0.2,0.34,2.1,0.049,12,136,0.9922,3.25,0.46,11.6,7
6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,6
4.9,0.47,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,11.5,6
5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,5
7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,5
6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,4
5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,6
7,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5,5
7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7
6.3,0.32,0.32,1.5,0.037,12,76,0.98993,3.3,0.46,12.3,6
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5
5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,6
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6
6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5
8.9,0.33,0.32,1.5,0.047,11,200,0.9954,3.19,0.46,9.4,5
6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,6
6.8,0.33,0.44,7,0.05,29,155,0.9955,3.14,0.42,9.5,5
6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,7
7.7,0.43,0.28,4.5,0.046,33,102,0.9918,3.16,0.56,12.2,7
5.7,0.23,0.25,7.95,0.042,16,108,0.99486,3.44,0.61,10.3,6
9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,5
5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,7
6.8,0.16,0.18,1.8,0.046,31,114,0.99226,3.27,0.55,10.8,6
6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6
7.8,0.28,0.25,3.4,0.024,27,99,0.98959,2.98,0.37,13,6
7.2,0.16,0.32,0.8,0.04,50,121,0.9922,3.27,0.33,10,6
7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,7
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6
7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,5
6.9,0.29,0.32,5.8,0.04,16,112,0.993,3.04,0.58,11.2,5
6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,5
5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4
6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7
6.2,0.26,0.32,15.3,0.031,64,185,0.99835,3.31,0.61,9.4,5
6.9,0.24,0.23,7.1,0.041,20,97,0.99246,3.1,0.85,11.4,6
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
8,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,8
6.9,0.31,0.34,7.4,0.059,36,174,0.9963,3.46,0.62,11.1,7
