Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
0.585,0.51,0.16,1.218,0.639,0.241,0.3,11
0.545,0.42,0.125,0.717,0.358,0.112,0.22,8
0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25,13
0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,10
0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7
0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10
0.635,0.505,0.165,1.251,0.577,0.227,0.3825,11
0.735,0.565,0.205,2.1275,0.949,0.46,0.565,12
0.44,0.32,0.095,0.3275,0.1495,0.059,0.1,8
0.525,0.4,0.17,0.7305,0.279,0.2055,0.195,11
0.52,0.4,0.11,0.597,0.2935,0.1155,0.16,8
0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348,7
0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,7
0.64,0.565,0.23,1.521,0.644,0.372,0.406,15
0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,10
0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16
0.16,0.12,0.02,0.018,0.0075,0.0045,0.005,4
0.485,0.37,0.13,0.458,0.181,0.113,0.136,10
0.63,0.495,0.175,1.2695,0.605,0.271,0.328,11
0.49,0.37,0.115,0.541,0.171,0.1175,0.185,11
0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,8
0.4,0.29,0.1,0.258,0.104,0.059,0.0815,7
0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,9
0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7
0.64,0.49,0.155,1.1285,0.477,0.269,0.34,9
0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,8
0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7
0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8
0.425,0.33,0.08,0.361,0.134,0.0825,0.125,7
0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13
0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,13
