X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
4,5,91.7,33.3,77.5,9,17.2,26,4.5,0,0
8,6,92.5,121.1,674.4,8.6,17.8,56,1.8,0,1.95
6,5,84.9,18.2,55,3,5.3,70,4.5,0,2.14
5,4,85.2,4.9,15.8,6.3,7.5,46,8,0,24.24
8,6,91.4,37.9,673.8,5.2,20.2,37,2.7,0,13.7
8,6,90.7,194.1,643,6.8,16.2,63,2.7,0,16.33
2,4,50.4,46.2,706.6,0.4,12.2,78,6.3,0,0
6,3,91.1,141.1,629.1,7.1,19.3,39,3.6,0,1.56
4,4,91.7,35.8,80.8,7.8,17,27,4.9,0,28.66
8,6,92.3,85.3,488,14.7,22.2,29,5.4,0,0
1,2,91.4,142.4,601.4,10.6,19.5,39,6.3,0,0
1,2,94.8,108.3,647.1,17,18.6,51,4.5,0,0
5,4,91,14.6,25.6,12.3,17.6,27,5.8,0,0
3,4,92.1,152.6,658.2,14.3,21,32,3.1,0,0
7,4,89.2,103.9,431.6,6.4,22.6,57,4.9,0,278.53
4,4,95.1,141.3,605.8,17.7,20.6,58,1.3,0,0
1,2,92.1,111.2,654.1,9.6,16.6,47,0.9,0,0
2,5,91.6,108.4,764,6.2,19.3,44,2.2,0,3.93
4,6,93.7,80.9,685.2,17.9,17.6,42,3.1,0,0
6,5,85.1,28,113.8,3.5,11.3,94,4.9,0,0
4,3,90.3,80.7,730.2,6.3,17.8,63,4.9,0,0
7,4,94.3,85.1,692.3,15.9,20.1,47,4.9,0,26.13
4,3,92.5,122,789.7,10.2,17.3,45,4,0,3.94
3,4,91.4,142.4,601.4,10.6,11.6,87,4.5,0,0
9,5,93.3,49.5,297.7,14,28,34,4.5,0,0
5,4,86.8,15.6,48.3,3.9,12.4,53,2.2,0,6.38
3,4,91.9,133.6,520.5,8,14.2,58,4,0,0
6,3,84.9,27.5,353.5,3.4,4.2,51,4,0,0
4,3,94.2,117.2,581.1,11,21.4,44,2.7,0,0.68
2,4,81.6,56.7,665.6,1.9,21.9,71,5.8,0,54.29
8,6,92.1,207,672.6,8.2,25.5,29,1.8,0,1.23
