MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP
160,512,2000,2,3,8,32
84,1000,2000,0,1,6,12
140,2000,4000,0,3,6,29
800,256,8000,0,1,4,22
125,256,6000,256,16,128,198
200,1000,2000,0,1,2,25
105,1000,4000,0,3,24,32
300,768,3000,6,6,24,44
140,2000,32000,32,1,54,189
50,1000,8000,8,3,5,36
52,4000,16000,32,4,12,130
167,524,2000,8,4,15,19
320,512,2000,4,1,3,69
25,1310,2620,131,12,24,368
143,1000,2000,0,5,16,31
105,2000,4000,8,3,19,32
125,2000,8000,0,2,14,52
50,500,2000,8,1,4,20
105,2000,8000,16,4,14,58
300,1000,16000,8,2,112,38
70,4000,12000,8,6,8,75
26,8000,32000,128,24,32,405
26,8000,32000,0,8,24,277
110,3100,6200,0,6,64,76
29,8000,32000,32,8,32,269
100,1000,8000,24,3,6,32
220,1000,8000,16,1,2,71
50,2620,10480,30,12,24,32
50,2000,16000,8,3,6,60
810,1000,5000,0,1,1,20
125,512,1000,0,8,20,36
50,4000,32000,112,52,104,397
240,512,1000,8,1,3,6
75,2000,8000,64,1,38,144
1100,512,1500,0,1,1,7
143,3100,6200,0,5,20,33
200,1000,4000,0,1,4,30
900,512,1000,0,1,2,11
92,2000,8000,4,1,6,50
50,2000,32000,48,26,52,208
50,8000,16000,48,1,10,136
75,3000,8000,8,3,48,64
105,2000,6000,16,6,16,33
50,2000,8000,8,1,5,71
175,256,2000,0,3,24,22
250,1000,16000,1,1,8,50
105,2000,4000,8,3,8,22
112,1000,1000,0,1,4,8
203,1000,2000,0,1,5,24
160,512,4000,2,1,5,30
180,768,12000,6,1,31,84
115,512,6000,16,1,6,45
23,16000,32000,64,16,32,489
