fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.1,0.21,0.33,1.2,0.039,34,97,0.99112,3.11,0.75,11.2,6
6.1,0.22,0.31,1.4,0.039,40,129,0.99193,3.45,0.59,10.9,5
6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6
5.8,0.315,0.27,1.55,0.026,15,70,0.98994,3.37,0.4,11.9,8
6.6,0.36,0.28,6.1,0.029,12,93,0.99054,3.19,0.27,12.8,7
6.7,0.34,0.43,1.6,0.041,29,114,0.99014,3.23,0.44,12.6,6
7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6
6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,5
6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5,5
8.6,0.37,0.7,12.15,0.039,21,158,0.9983,3,0.73,9.3,6
8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6
7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12,7
6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6
8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,6
6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5
6.1,0.41,0.04,1.3,0.036,23,121,0.99228,3.24,0.61,9.9,6
8.2,0.36,0.29,7.6,0.035,37,122,0.9939,3.16,0.34,12,5
7.5,0.35,0.37,2.5,0.066,29,89,0.98964,3.14,0.42,12.7,6
6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6
5.8,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6
5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7
7.1,0.26,0.37,5.5,0.025,31,105,0.99082,3.06,0.33,12.6,8
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5
8.1,0.46,0.31,1.7,0.052,50,183,0.9923,3.03,0.42,11.2,5
6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9,6
6.3,0.22,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5,7
6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,6
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
6.7,0.44,0.22,4.3,0.032,19,99,0.99015,3.26,0.53,12.8,7
8.4,0.23,0.32,1.3,0.048,59,113,0.99178,3.1,0.55,11,6
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
7.2,0.16,0.29,1,0.031,40,123,0.98958,3.12,0.4,12.1,7
6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5
6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,5
6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6
6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6
5.3,0.6,0.34,1.4,0.031,3,60,0.98854,3.27,0.38,13,6
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8
6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5
7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5
7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,7
6.4,0.55,0.26,9.6,0.027,20,104,0.9924,3.22,0.73,13.1,6
6.3,0.34,0.27,2.5,0.024,40,152,0.99095,3.35,0.6,11.9,7
6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6
7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,6
6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5
5.1,0.165,0.22,5.7,0.047,42,146,0.9934,3.18,0.55,9.9,6
5.6,0.26,0.27,10.6,0.03,27,119,0.9947,3.4,0.34,10.7,7
8,0.27,0.24,1.2,0.044,20,102,0.9929,3.28,0.42,10.9,5
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
6.4,0.15,0.4,1.5,0.042,23,87,0.98972,3.11,0.46,12.2,7
