MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP
400,512,3500,4,1,6,40
38,4000,8000,32,16,32,116
30,16000,32000,256,16,24,510
700,384,8000,0,1,1,24
50,2000,16000,8,3,5,40
240,512,2000,8,1,5,11
180,2000,8000,8,1,6,50
185,2000,16000,16,1,6,76
75,4000,16000,16,1,6,66
800,256,8000,0,1,4,20
38,4000,16000,128,16,32,212
50,2000,32000,112,52,104,307
1500,768,1000,0,0,0,12
30,8000,64000,128,12,176,1150
124,1000,8000,0,1,8,42
40,8000,32000,64,8,24,277
100,1000,8000,0,2,6,16
160,1000,4000,8,1,14,38
50,2000,16000,24,1,6,80
17,4000,16000,8,6,12,100
57,4000,24000,64,12,16,237
300,768,4500,0,1,24,45
105,256,2000,0,3,10,26
50,2620,10480,30,12,24,63
90,256,1000,0,3,10,17
50,4000,16000,65,1,8,138
25,2000,12000,16,3,5,66
75,2000,8000,8,3,24,62
29,8000,32000,32,8,32,172
110,1000,12000,16,1,2,60
29,8000,32000,32,8,32,220
1100,768,2000,0,1,1,13
330,1000,2000,0,1,2,16
140,2000,4000,8,1,20,35
320,512,8000,4,1,5,40
38,16000,32000,128,16,32,510
25,1310,2620,131,12,24,274
480,512,8000,32,0,0,67
330,1000,3000,0,2,4,16
92,2000,8000,32,1,6,62
225,1000,4000,2,3,6,24
320,256,6000,0,1,6,33
38,4000,8000,32,16,32,51
140,2000,32000,32,1,54,141
400,4000,8000,0,1,1,32
300,768,12000,6,6,24,50
38,8000,16000,64,4,8,100
23,32000,64000,128,32,64,1144
300,768,3000,0,6,24,36
50,2000,16000,24,1,6,70
50,2000,32000,24,6,26,114
810,512,512,8,1,1,18
250,512,4000,0,4,7,50
180,262,4000,0,1,3,12
320,256,3000,4,1,3,27
59,4000,12000,32,6,12,113
23,16000,64000,64,16,32,636
225,2000,4000,8,3,6,40
150,512,4000,0,8,128,30
225,2000,4000,8,3,6,34
50,2000,16000,24,6,16,54
115,2000,8000,16,1,3,50
56,4000,8000,0,1,8,34
180,512,4000,0,1,3,14
50,2000,8000,8,3,6,45
38,8000,32000,64,8,24,326
800,768,2000,0,0,0,20
180,262,4000,0,1,3,18
50,1000,4000,8,1,5,29
200,2000,8000,64,1,5,41
50,2000,4000,0,3,6,27
200,1000,8000,0,1,2,36
56,4000,12000,0,1,8,42
900,1000,4000,4,1,2,18
116,2000,8000,32,5,28,70
50,2000,16000,24,6,16,65
320,512,5000,4,1,5,77
92,2000,8000,32,1,6,60
330,1000,4000,0,3,6,22
29,8000,16000,32,8,16,132
60,2000,16000,64,5,8,74
17,4000,16000,32,6,12,133
98,1000,8000,32,2,8,46
300,1000,4000,8,3,64,38
180,512,4000,0,1,3,21
350,64,64,0,1,4,10
75,2000,16000,128,1,38,259
320,256,5000,4,1,6,27
50,2000,16000,12,3,16,45
50,2000,8000,8,1,6,56
200,512,16000,0,4,32,35
57,4000,16000,1,6,12,132
133,1000,8000,9,3,12,72
30,8000,64000,96,12,176,915
38,8000,24000,160,4,8,140
143,1500,6300,0,5,32,30
59,8000,16000,64,12,24,188
25,2000,12000,8,1,4,49
40,8000,16000,32,8,16,214
200,512,8000,8,1,8,62
26,8000,16000,0,8,16,185
100,1000,8000,24,2,6,26
115,2000,4000,2,1,5,40
23,16000,32000,64,16,32,367
900,1000,1000,0,1,2,11
480,1000,4000,0,0,0,45
50,4000,16000,64,5,10,111
60,2000,8000,65,1,8,92
26,16000,32000,64,16,24,465
140,1000,16000,16,1,3,138
320,128,6000,0,1,12,23
140,2000,8000,32,1,54,66
160,1000,8000,16,1,14,60
56,2000,8000,0,1,8,24
56,5240,20970,30,12,24,106
26,8000,32000,64,12,16,248
48,4000,24000,32,8,24,214
800,256,8000,0,1,4,16
110,5000,5000,142,8,64,120
900,2000,4000,0,3,6,37
400,2000,4000,0,1,1,32
800,256,8000,0,1,4,12
250,512,4000,0,1,7,25
143,2300,6200,0,6,64,61
60,4000,16000,64,5,8,93
26,8000,32000,64,8,32,318
480,96,512,0,1,1,6
1500,768,2000,0,0,0,18
140,2000,4000,0,4,8,40
300,384,12000,6,1,24,53
56,1000,4000,0,1,6,17
800,256,8000,0,1,4,14
300,192,768,6,6,24,36
140,2000,4000,8,1,20,22
110,1000,4000,16,1,2,26
72,4000,16000,64,8,16,143
75,2000,16000,64,1,38,144
56,4000,16000,0,1,8,46
50,1000,4000,8,3,5,26
60,4000,16000,32,1,6,86
56,2000,6000,0,1,8,21
26,16000,32000,64,8,24,465
600,768,2000,0,1,1,16
140,2000,32000,32,1,20,134
64,5240,20970,30,12,24,208
160,2000,8000,32,1,13,109
72,2000,8000,16,6,8,105
700,256,2000,0,1,1,24
400,1000,3000,0,1,2,38
133,1000,12000,9,3,12,72
180,2000,16000,16,1,6,66
26,8000,24000,32,8,16,173
900,1000,4000,8,1,2,22
35,8000,32000,64,8,24,370
50,2000,16000,8,3,6,52
143,512,5000,0,7,32,28
